DEPARTAMENTO,POBLACION 2021
AMAZONAS,80464
ANTIOQUIA,6782584
ARAUCA,301270
SAN ANDRES,64672
ATLANTICO,1474057
BOGOTA,7834167
BOLIVAR,1169135
BOYACA,1251675
CALDAS,1027314
CAQUETA,414841
CASANARE,439238
CAUCA,1504044
CESAR,1322466
CHOCO,549225
CORDOBA,1844076
CUNDINAMARCA,3372221
GUAINIA,51450
GUAVIARE,88490
HUILA,1131934
GUAJIRA,987781
MAGDALENA,902108
META,1072412
NARIÃ‘O,1627386
NORTE SANTANDER,1642746
PUTUMAYO,364085
QUINDIO,562117
RISARALDA,968626
SANTANDER,2306455
SUCRE,962457
TOLIMA,1343898
VALLE,4556752
VAUPES,46808
VICHADA,114557
BARRANQUILLA,1297082
CARTAGENA,1043926
SANTA MARTA,546979
